

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
056.358  000.045  000.045: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/hunks.vim
056.529  000.090  000.090: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/branch.vim
056.622  000.024  000.024: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/fugitiveline.vim
056.741  000.027  000.027: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/nvimlsp.vim
056.854  000.050  000.050: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/whitespace.vim
056.960  000.026  000.026: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/po.vim
057.052  000.039  000.039: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/wordcount.vim
057.146  000.010  000.010: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/keymap.vim
057.286  000.018  000.018: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/searchcount.vim
058.567  000.036  000.036: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/section.vim
058.744  000.089  000.089: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/highlighter.vim
061.531  000.030  000.030: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/themes.vim
061.777  000.379  000.349: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline-themes/autoload/airline/themes/onedark.vim
069.858  000.071  000.071: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/builder.vim
070.075  000.037  000.037: sourcing /home/beicker/.local/share/nvim/lazy/vim-airline/autoload/airline/extensions/default.vim
095.854  000.045  000.045: require('luasnip.util.directed_graph')
095.877  000.021  000.021: require('luasnip.session.enqueueable_operations')
095.880  000.130  000.064: require('luasnip.loaders.from_lua')
096.069  000.018  000.018: require('luasnip.util.events')
096.075  000.052  000.035: require('luasnip.nodes.node')
096.133  000.057  000.057: require('luasnip.nodes.insertNode')
096.174  000.040  000.040: require('luasnip.nodes.textNode')
096.205  000.030  000.030: require('luasnip.util.mark')
096.229  000.024  000.024: require('luasnip.util.pattern_tokenizer')
